id	sentiment
11745_1	0
8553_3	0
3677_8	0
614_2	0
5361_10	0
10359_7	0
7190_4	0
10746_10	0
3585_9	0
3432_8	0
2454_4	0
12033_8	0
10859_7	0
4943_2	0
8048_7	0
4476_2	0
12460_7	0
1981_2	0
809_3	0
10922_3	0
6236_1	0
10889_1	0
10590_4	0
7403_3	0
10863_8	0
9188_10	0
7129_10	0
8148_1	0
1466_1	0
2196_8	0
7548_8	0
9562_4	0
11675_3	0
3806_8	0
3707_2	0
7096_1	0
4876_4	0
9499_7	0
4809_10	0
2017_10	0
187_2	0
1326_3	0
4435_7	0
1815_10	0
6183_4	0
6916_2	0
4340_2	0
3148_4	0
9348_7	0
2258_7	0
143_7	0
1195_8	0
8824_8	0
10682_1	0
5460_4	0
4483_8	0
6156_10	0
11054_7	0
2681_3	0
8823_8	0
9987_9	0
2545_8	0
6229_7	0
875_10	0
10139_8	0
10233_1	0
3550_1	0
9224_3	0
3301_10	0
1731_10	0
5345_4	0
3998_1	0
3578_1	0
12054_2	0
3540_8	0
11863_1	0
8270_10	0
4120_1	0
639_3	0
4935_7	0
7271_7	0
7693_4	0
5825_1	0
3802_10	0
4577_1	0
8175_3	0
3440_1	0
10547_9	0
6277_1	0
8773_1	0
10557_3	0
2310_9	0
2047_1	0
5491_10	0
4945_7	0
224_10	0
9561_8	0
3331_1	0
9983_3	0
8446_1	0
5239_7	0
11378_1	0
8312_4	0
10205_10	0
1761_1	0
962_8	0
6399_1	0
7595_1	0
656_10	0
8649_9	0
1599_1	0
7150_9	0
4738_7	0
12076_4	0
10980_7	0
2789_1	0
8004_2	0
1610_2	0
642_10	0
2079_10	0
10521_9	0
9679_2	0
1507_8	0
5378_3	0
6438_10	0
725_10	0
11401_1	0
7156_1	0
1768_4	0
390_4	0
4776_3	0
2925_1	0
7985_4	0
4672_10	0
4149_1	0
4034_2	0
4140_10	0
5259_9	0
5794_10	0
1871_10	0
2636_1	0
7853_1	0
3529_9	0
8271_1	0
9065_10	0
6612_8	0
3489_2	0
9659_8	0
4496_8	0
10470_9	0
4618_3	0
355_9	0
1130_2	0
2279_2	0
487_4	0
2178_9	0
6274_8	0
5941_1	0
2477_7	0
9516_8	0
5341_10	0
9232_8	0
1362_10	0
4113_1	0
10737_10	0
9132_10	0
8401_10	0
9229_2	0
10769_10	0
4602_8	0
7826_4	0
3745_2	0
7089_9	0
10808_1	0
11805_2	0
5998_1	0
3324_3	0
8803_10	0
6748_4	0
1878_10	0
8774_4	0
9917_10	0
7563_10	0
9964_4	0
6252_1	0
